"Qual é a composição principal do papel de pedra (stone paper), utilizado em papelaria náutica de luxo?",Carbonato de cálcio (pedra reciclada) e uma pequena proporção de resina (HDPE).
"No contexto das tendências de design para 2025, o que caracteriza a estética 'Silver' na papelaria?",Um visual moderno e adaptável inspirado no avanço da IA e no revival dos anos 2000 (Y2K).
"De acordo com as projeções de mercado, qual é o valor estimado para o setor global de equipamentos de mergulho até 2035?","$USD$ 3,2 bilhões."
Qual é a principal função do dispositivo de comunicação marítima conhecido como 'Chadburn' ou telégrafo de máquinas?,Transmitir ordens de velocidade do piloto na ponte para os engenheiros na casa de máquinas.
"Na história das ilustrações náuticas, quem publicou o famoso gráfico de monstros marinhos na obra 'Cosmographia' em 1544?",Sebastian Münster.
"O termo 'Le Poulpe Colossal', ilustrado por Pierre Dénys de Montfort em 1801, refere-se a qual criatura mítica?",O Kraken (polvo gigante).
Qual é a recomendação de frequência para o registro da posição de um barco em um diário de bordo (logbook) de navegação?,Recomenda-se o registro em intervalos horários.
Diferença técnica: Por que muitos mergulhadores preferem papel padrão em vez de papel impermeável para logs pós-mergulho?,Porque o papel padrão é mais fácil de escrever e a tinta dos carimbos não borra.
O que representam as siglas 'SOG' e 'Log' em um diário de navegação?,SOG refere-se à velocidade em relação ao fundo e Log à velocidade em relação à água.
"Qual tendência de design de 2025 utiliza ilustrações de arquivos históricos, como rosas dos ventos detalhadas e esboços de veleiros?",Vintage Revival (ou 'Grandma's House').
Termo: Nitrox (EANx),Definição: Mistura gasosa com porcentagem de oxigênio superior aos $21\%$ do ar comum.
Qual é o objetivo do sistema GMDSS mencionado em logbooks de comunicação marítima?,Garantir a segurança global e socorro marítimo através de comunicações de rádio e satélite.
"Na papelaria de luxo de 2025, qual é a principal diferença entre as técnicas de 'embossing' e 'debossing'?","O 'embossing' cria um relevo para fora, enquanto o 'debossing' cria um relevo afundado na superfície."
Por que o registro de 'Peso utilizado' é vital em um diário de mergulho?,"Para o ajuste fino da flutuabilidade, que varia conforme o traje, o tipo de cilindro e a salinidade da água."
Qual inovação tecnológica foi integrada ao computador de mergulho 'Suunto Ocean' lançado em 2024?,Sistema GPS integrado e 95 modos esportivos diferentes.
O dispositivo AquaSketch Minno diferencia-se de outras placas de escrita subaquática por utilizar _____.,Pergaminhos de vellum (scrolls) de até 8 pés que podem ser girados.
"Segundo Darcy Kieran, qual é o estágio atual do ciclo de vida da indústria do mergulho autônomo?",Estágio de maturação ou declínio.
Qual é a porcentagem padrão de oxigênio em um cilindro de mergulho com ar comprimido comum?,$21\%$.
O que a legislação de segurança e operadores de liveaboards costumam exigir caso um mergulhador não registre mergulhos por mais de seis meses?,A realização de um curso de reciclagem (refresher course).
Qual é a principal vantagem das 'Magnetic Slates' (placas magnéticas) em relação às placas de plástico comuns debaixo d'água?,São mais fáceis de apagar e limpar instantaneamente com um apagador deslizante.
"Na tendência 'Lifestyle-centric luxury' de 2025, as marcas de luxo deixam de vender apenas produtos para vender _____.",Ecossistemas de experiências e mundos curados que ressoam conscientemente com o consumidor.
Qual diário de bordo é especificamente exigido pela MARPOL Annex V para conformidade ambiental?,Garbage Discharge Logbook (Diário de Descarga de Lixo).
O desenho polonês de 1800 de um navio de guerra de madeira é um exemplo de qual categoria de imagem náutica?,Esboço técnico de construção naval antiga.
Qual é a profundidade mínima e tempo necessário para que a PADI defina uma atividade como um 'mergulho em águas abertas'?,Permanecer a pelo menos $5$ metros de profundidade por no mínimo $20$ minutos.
Como a inteligência artificial está impactando o mercado de papelaria de luxo em 2025?,Através do design preditivo e da personalização em massa de produtos para nichos específicos.
Qual é a função das 'marine life ID pages' em um logbook customizado?,Facilitar a identificação e o registro de espécies marinhas avistadas durante o mergulho.
"O material têxtil 'Cordura', mencionado em capas de notebooks de sobrevivência, recebe qual tratamento para aumentar sua performance?",Tratamento com poliuretano (PU).
"Na história náutica, o que celebrava o desenho da revista 'Punch' de 18 de outubro de 1905?",O centenário da morte de Lord Horatio Nelson e a dívida da Grã-Bretanha para com ele.
"Qual é a finalidade de uma 'Stellar Compass' (Bússola Estelar) patenteada, além da navegação magnética?",Permitir ao marinheiro navegar em um curso de grande círculo (great circle) dia ou noite sem depender da bússola magnética.
O conceito de 'Slow Living' na papelaria moderna defende _____.,A valorização do registro tátil e analógico como forma de desconexão do mundo digital.
"Qual segmento de equipamentos de mergulho deteve a maior fatia de mercado ($42,6\%$) em 2025?",Wetsuits & Drysuits (Roupas de exposição).
"Em um diário de mergulho, o que significa o campo 'Bottom Time'?","O tempo total gasto submerso, incluindo paradas de segurança."
Qual é a diferença de origem entre tanques de mergulho 'Steel' e 'Aluminium' comumente usados na Ásia e no Reino Unido?,"Na Ásia usam-se mais cilindros de alumínio (Ali80), enquanto no Reino Unido predominam os de aço ($10L$ ou $12L$)."
O que caracteriza o estilo 'Nautical Chic' ou 'Minimalismo Náutico' para 2025?,"Uso de silhuetas limpas, tipografia sans-serif e paletas monocromáticas em vez de listras tradicionais."
Qual é o principal desafio citado para o crescimento do mercado de mergulho autônomo?,"A acessibilidade e conscientização limitadas, além do alto custo inicial dos equipamentos."
"As ilustrações de John Paas de 1817 exibiam o quê, refletindo a fascinação popular da época?","Sereias (Mermaids) supostamente exibidas nos anos de 1758, 1775 e 1795."
Qual é a vantagem do uso de adesivos PET em scrapbooking marinho?,Eles são duráveis e resistentes à água (waterproof).
O diário de bordo da baleeira 'Nauticon' de 1849 foi escrito por _____.,Susan C. Austin Veeder.
O que indica a 'Pressão Barométrica' em um logbook de navegação em termos de previsão do tempo?,Mudanças na pressão indicam a aproximação de sistemas de alta ou baixa pressão (mudanças climáticas).
"Nas tendências de 2025, o luxo não é mais definido pelo excesso, mas sim pela _____ e pelo _____.",Consciência; propósito.
Qual é a função do 'Engine Order Telegraph' ou 'Mariner's Compass' em patentes do século XIX?,São dispositivos essenciais para a orientação espacial e controle de propulsão do navio.
A técnica de 'Hot Stamping' na papelaria de luxo é utilizada para _____.,Aplicar folhas metálicas (como prata ou ouro) através de calor e pressão.
O que define um mergulhador 'casual' segundo as novas tendências da indústria?,"Mergulhadores que realizam mergulhos esporádicos durante férias, entre muitas outras atividades."
Qual a importância de um 'Pre-dive checklist' em um logbook customizado?,Garantir que todo o equipamento necessário foi verificado e embalado para a segurança do mergulho.
"Em termos de sustentabilidade, por que o papel de pedra é considerado superior ao papel celulósico?","Porque sua fabricação não utiliza água, cloro ou árvores."
Qual é o nome da empresa finlandesa que lançou o computador de mergulho 'Ocean' em 2024?,Suunto.
"Na navegação, o que é o 'Rumo de Agulha' (Compass Heading)?","É a direção indicada pela bússola magnética do navio, sujeita à variação e desvio."
O que representa o 'Poulpe Colossal' na malacologia de 1801?,A descrição científica inicial (embora baseada em relatos) de lulas ou polvos gigantes que atacavam navios.
Qual é o principal benefício da integração de 'QR Codes' em produtos de papelaria premium?,Criar uma ponte entre o produto físico e conteúdos ou experiências digitais.
O diário de bordo 'Logbook' profissional é um documento técnico que pode ser exigido por qual autoridade?,Royal Yachting Association (RYA) ou autoridades marítimas nacionais.
Qual é a cor de tendência para 2025 que se destaca pela estética moderna e adaptável?,Prata (Silver).
O gráfico de nós marinhos (Knots) é comumente encontrado em qual dicionário ilustrado francês de 1898?,Nouveau Larousse Illustré.
"Em mergulho técnico, o que é um 'Rebreather'?","Um sistema de respiração que recicla o gás expirado pelo mergulhador, removendo o $CO_{2}$ e adicionando oxigênio."
O termo 'Maximalismo' na papelaria de 2025 refere-se a _____.,"Designs vibrantes e ricos em detalhes, cores e texturas orgânicas."
Qual é a finalidade de carimbos e assinaturas em logbooks de mergulho?,Validar a experiência do mergulhador para fins de certificação e comprovação de proficiência.
As 'Stellar Compass illustrations' costumam acompanhar coleções de qual tipo de pôsteres vintage?,Pôsteres de constelações (vintage constellation posters).
Qual é o principal impacto da poluição e deterioração ambiental nos resorts de mergulho?,"Coloca em risco a biodiversidade marinha (corais), que é o principal produto turístico do mergulho."
O diário de bordo 'Interior Logbook' de um iate serve para registrar o quê?,"Operações diárias da tripulação, serviços aos hóspedes e gestão do interior da embarcação."
O que motivou a criação do computador Suunto Ocean em termos de mercado?,A fusão de funcionalidades de um relógio esportivo de alta performance com a precisão de um computador de mergulho.
"No contexto de 2025, o que significa o 'Revival Vintage' para o consumidor de papelaria?","Uma busca por nostalgia e materiais que remetam à natureza, como tons de terra e azuis profundos."
Qual a principal diferença entre um 'Sailor's Log' e um 'Ship's Log' segundo o SailTies?,"O 'Ship's Log' foca na conformidade marítima, enquanto o 'Sailor's Log' é voltado para histórias pessoais e memórias."
O iate 'Sappho' de Nova York tornou-se famoso por qual feito em 1869?,Cruzar o Atlântico rumo à Europa saindo de Sandy Hook.
Por que o 'Feedback Tátil' é essencial no mercado de luxo de 2025?,"Porque cria uma diferenciação sensorial através de texturas que simulam couro, escamas ou cordas."
Qual é a principal vantagem de logbooks digitais baseados em GPS?,Rastreamento automático de viagens e backup em nuvem de todo o histórico.
A obra 'Cosmographia' de 1544 reflete quais crenças da época sobre o oceano?,Reflete os medos e crenças na existência real de monstros marinhos e criaturas míticas.